episode,reward
1,837.00
2,-1823.90
3,-3000.00
4,-14000.00
5,-148400.00
6,1711.60
7,-1000.00
8,-152.80
9,2176.10
10,2145.20
11,-1000.00
12,-6000.00
13,-706.20
14,-776.80
15,2378.50
16,-4000.00
17,-2933.20
18,-1932.90
19,-919.40
20,2202.10
21,-3000.00
22,-822.70
23,-1795.40
24,-3687.80
25,-3734.70
26,1928.70
27,-819.30
28,-1744.50
29,-799.80
30,-5000.00
31,-2000.00
32,2309.70
33,-4000.00
34,2267.50
35,-67.80
36,-2000.00
37,-1827.20
38,-1865.70
39,-2000.00
40,-827.20
41,-3000.00
42,-4000.00
43,2044.80
44,2205.40
45,-4000.00
46,-5000.00
47,2179.40
48,1827.50
49,-1000.00
50,-1893.90
51,-2000.00
52,1881.50
53,2161.00
54,2109.30
55,-810.90
56,-5000.00
57,-1708.40
58,-1970.70
59,1821.30
60,-1000.00
61,-1000.00
62,2302.40
63,-173200.00
64,-5000.00
65,2132.40
66,2253.00
67,2220.50
68,2428.70
69,-820.10
70,-1000.00
71,-2000.00
72,-795.80
73,-737.70
74,2152.80
75,-1789.60
76,-775.40
77,-796.40
78,-806.40
79,-2000.00
80,2112.90
81,-3000.00
82,-3000.00
83,-2000.00
84,-2971.70
85,-791.50
86,-3000.00
87,1986.90
88,2094.70
89,2321.70
90,-822.10
91,1863.70
92,-1000.00
93,-154400.00
94,-1000.00
95,-170400.00
96,2173.60
97,-134400.00
98,-806.10
99,2201.50
100,-720.40
101,-816.40
102,-3997.80
103,-37200.00
104,2070.70
105,-899.30
106,-2000.00
107,-187641.00
108,2146.70
109,-931.00
110,-4000.00
111,2116.00
112,2095.40
113,2170.30
114,-869.80
115,-2798.60
116,-110380.80
117,-1742.10
118,-8000.00
119,-935.00
120,-817.20
121,-2734.20
122,-897.60
123,-2000.00
124,850.90
125,-819.30
126,786.10
127,-2000.00
128,-5873.50
129,-1000.00
130,1693.20
131,-1000.00
132,-1825.40
133,-737.60
134,-3722.00
135,-3983.70
136,-814.00
137,2141.90
138,-1775.60
139,-829.20
140,-996.20
141,-557.20
142,-2860.00
143,-1000.00
144,-4000.00
145,2329.10
146,-876.90
147,-4000.00
148,-4000.00
149,-1252.50
150,-2000.00
151,-2782.90
152,-2119.70
153,-4000.00
154,-1000.00
155,-3000.00
156,-1910.00
157,2311.10
158,-2828.60
159,-50400.00
160,-1000.00
161,-1993.00
162,2137.30
163,-1000.00
164,-913.60
165,-813.10
166,-816.30
167,-825.40
168,2035.20
169,-1000.00
170,-106600.00
171,-2000.00
172,-41589.60
173,-1000.00
174,-3000.00
175,2152.90
176,2076.50
177,-2716.70
178,-684.00
179,-1000.00
180,2058.50
181,-5000.00
182,-736.40
183,2187.00
184,-2000.00
185,2205.60
186,2076.70
187,-55600.00
188,-3000.00
189,-1871.50
190,-4469.40
191,2089.80
192,-3000.00
193,-2736.40
194,-924.60
195,-4000.00
196,2110.40
197,2240.50
198,-3827.00
199,-3000.00
200,-5000.00
201,-2632.30
202,-3716.80
203,-92238.60
204,-2000.00
205,-4000.00
206,-1782.70
207,-2791.20
208,-5000.00
209,-1864.20
210,-1000.00
211,-1000.00
212,-814.30
213,-1000.00
214,2154.50
215,2237.40
216,-2000.00
217,-928.30
218,1820.50
219,-1843.50
220,-2000.00
221,-664.00
222,-803.60
223,-888.80
224,1901.70
225,-2000.00
226,-1386.80
227,-2000.00
228,-2000.00
229,-892.30
230,982.10
231,2194.30
232,903.60
233,2115.50
234,-1000.00
235,-4000.00
236,-1000.00
237,-3000.00
238,1919.70
239,-1907.20
240,-1787.60
241,-619.90
242,-743.90
243,-5000.00
244,-2000.00
245,-820.00
246,-723.10
247,-84600.00
248,-3000.00
249,-1856.80
250,-884.40
251,2224.80
252,-5000.00
253,-3000.00
254,2180.90
255,2439.30
256,-865.60
257,-2000.00
258,-791.40
259,-14200.00
260,2001.60
261,-1000.00
262,-1874.00
263,-863.30
264,2196.30
265,2018.80
266,-2000.00
267,2019.10
268,2013.40
269,-2000.00
270,-1905.30
271,-1000.00
272,2545.40
273,-741.70
274,-1000.00
275,-1640.80
276,2157.20
277,-75231.90
278,2164.70
279,-886.70
280,-3000.00
281,2226.60
282,-911.30
283,-2767.10
284,-713.40
285,-810.80
286,-874.80
287,2334.50
288,-826.30
289,-2000.00
290,-5000.00
291,-2000.00
292,-2000.00
293,-834.60
294,-883.90
295,-825.40
296,97.70
297,-1000.00
298,-814.00
299,2012.50
300,-2000.00
301,-871.30
302,1902.80
303,-832.60
304,-3000.00
305,-1856.10
306,-765.40
307,2307.10
308,-1864.00
309,2307.50
310,-1000.00
311,-743.10
312,-1000.00
313,2382.60
314,-739.20
315,2163.00
316,2064.40
