episode,reward
1,1951.00
2,1902.00
3,1270.00
4,887.00
5,1774.00
6,1937.00
7,1449.00
8,1606.00
9,-2658.00
10,-8972.00
11,1730.00
12,674.00
13,-996.00
14,-4790.00
15,505.00
16,1404.00
17,1137.00
18,-996.00
19,1785.00
20,-996.00
21,1997.00
22,-2396.00
23,1583.00
24,-996.00
25,-2184.00
26,1875.00
27,-4655.00
28,347.00
29,-2972.00
30,1700.00
31,1158.00
32,-146.00
33,1383.00
34,684.00
35,1559.00
36,-998.00
37,-764.00
38,1975.00
39,1934.00
40,1346.00
41,-1714.00
42,275.00
43,-2196.00
44,90.00
45,2022.00
46,-3535.00
47,1991.00
48,2042.00
49,-1593.00
50,-996.00
51,-3583.00
52,-3587.00
53,-610.00
54,1905.00
55,-10400.00
56,1808.00
57,-2996.00
58,-742.00
59,492.00
60,-972.00
61,2057.00
62,-3800.00
63,1803.00
64,-6796.00
65,1892.00
66,-1793.00
67,1615.00
68,1935.00
69,-4793.00
70,-2984.00
71,-976.00
72,1932.00
73,-993.00
74,-462.00
75,-995.00
76,-996.00
77,1404.00
78,-984.00
79,-873.00
80,346.00
81,766.00
82,-996.00
83,-5996.00
84,-9264.00
85,-3584.00
86,2016.00
87,1999.00
88,1870.00
89,631.00
90,203.00
91,-4444.00
92,-4655.00
93,-978.00
94,-996.00
95,1989.00
96,1934.00
97,1826.00
98,-9796.00
99,1784.00
100,-1777.00
101,1964.00
102,1956.00
103,-6793.00
104,2080.00
105,1630.00
106,-2023.00
107,1965.00
108,-998.00
109,-996.00
110,1162.00
111,-4068.00
112,-976.00
113,-1181.00
114,106.00
115,-6596.00
116,-6327.00
117,-5271.00
118,-2796.00
119,1939.00
120,-996.00
121,-16000.00
122,1999.00
123,2055.00
124,-868.00
125,-3627.00
126,-393.00
127,-996.00
128,1952.00
129,-996.00
130,1696.00
131,1889.00
132,1949.00
133,-7800.00
134,-8800.00
135,-2180.00
136,-4190.00
137,1191.00
138,1493.00
139,-992.00
140,1921.00
141,2071.00
142,2004.00
143,-2796.00
144,-978.00
145,-1596.00
146,-996.00
147,1375.00
148,1848.00
149,-12800.00
150,-8600.00
151,1962.00
152,1916.00
153,1856.00
154,-17200.00
155,-4688.00
156,-3996.00
157,1248.00
158,1550.00
159,-3456.00
160,1657.00
161,-993.00
162,-993.00
163,-4596.00
164,1523.00
165,1752.00
166,-1272.00
167,-5176.00
168,-3846.00
169,-992.00
170,-4133.00
171,-1082.00
172,1881.00
173,1326.00
174,1378.00
175,1719.00
176,-276.00
177,-989.00
178,-984.00
179,-5376.00
180,2086.00
181,1779.00
182,1851.00
183,-7400.00
184,1877.00
185,-977.00
186,2027.00
187,-996.00
188,1041.00
189,-9800.00
190,-7396.00
191,-13800.00
192,-3720.00
193,-2591.00
194,-3996.00
195,2009.00
196,-6148.00
197,203.00
198,-12400.00
199,2019.00
200,-5984.00
201,1909.00
202,1818.00
203,702.00
204,2053.00
205,-996.00
206,-1552.00
207,-4333.00
208,1283.00
209,2040.00
210,1767.00
211,-11829.00
212,-4395.00
213,2022.00
214,1894.00
215,1557.00
216,-2105.00
217,1974.00
218,-987.00
219,1989.00
220,-996.00
221,-1296.00
222,1553.00
223,-7584.00
224,1968.00
225,-990.00
226,2032.00
227,2062.00
228,-6793.00
229,-998.00
230,-6314.00
231,-5735.00
232,1886.00
233,1230.00
234,-247.00
235,783.00
236,1902.00
237,1930.00
238,-996.00
239,1290.00
240,-9800.00
241,1472.00
242,-4190.00
243,2036.00
244,2054.00
245,1392.00
246,-996.00
247,-8659.00
248,-1492.00
249,-10200.00
250,1446.00
251,-4796.00
252,2012.00
253,2007.00
254,-22198.00
255,1984.00
256,-15450.00
257,-996.00
258,-7996.00
259,378.00
260,2010.00
261,-3705.00
262,-21590.00
263,-10082.00
264,1742.00
265,-984.00
266,1957.00
267,-14787.00
268,2052.00
269,-996.00
270,1544.00
271,1798.00
272,-13596.00
273,-22000.00
274,-996.00
275,1677.00
276,-20573.00
277,1918.00
278,-1310.00
279,1822.00
280,-13600.00
281,2054.00
282,2015.00
283,-1504.00
284,1595.00
285,2016.00
286,1922.00
287,-2516.00
288,1978.00
289,-7996.00
290,2033.00
291,-25976.00
292,-26797.00
293,1942.00
294,-13581.00
295,-22796.00
296,-4790.00
297,1692.00
298,-3712.00
299,1806.00
300,2100.00
301,1183.00
302,-5172.00
303,-996.00
304,-19796.00
305,-12396.00
306,-25146.00
307,-26796.00
308,-1000.00
309,-24998.00
310,-13396.00
311,-4396.00
312,-23000.00
313,1916.00
314,-21800.00
315,-8435.00
316,2008.00
317,-16400.00
318,-996.00
319,2015.00
320,1625.00
321,1944.00
322,1940.00
323,1763.00
324,-13793.00
325,1934.00
326,-641.00
327,1973.00
328,1701.00
329,1759.00
330,1965.00
331,-9600.00
332,2039.00
333,1928.00
334,-12600.00
335,1783.00
336,1478.00
337,2012.00
338,-996.00
339,1788.00
340,-996.00
341,-996.00
342,-14796.00
343,-4196.00
344,2010.00
345,-6597.00
346,-4643.00
347,-8446.00
348,-996.00
349,-996.00
350,1989.00
351,63.00
352,2006.00
353,-5875.00
354,2031.00
355,1953.00
356,-6196.00
357,1923.00
358,1814.00
359,2061.00
360,1319.00
361,-996.00
362,-11587.00
363,1882.00
364,-17579.00
365,2056.00
366,-996.00
367,1785.00
368,-11200.00
369,1642.00
370,-7800.00
371,1206.00
372,-996.00
373,2021.00
374,1719.00
375,1818.00
376,1772.00
377,-10800.00
378,2009.00
379,-996.00
380,-998.00
381,2078.00
382,1985.00
383,1451.00
384,-6800.00
385,-9396.00
386,2011.00
387,1878.00
388,-19200.00
389,-7200.00
390,2092.00
391,1683.00
392,-7955.00
393,-996.00
394,-1525.00
395,-17000.00
396,-3600.00
397,2028.00
398,2008.00
399,1957.00
400,-10387.00
401,1971.00
402,1957.00
403,-13400.00
404,1300.00
405,-10796.00
406,-10400.00
407,-7984.00
408,-996.00
409,1641.00
410,1790.00
411,-19400.00
412,-19200.00
413,1802.00
414,-7397.00
415,1954.00
416,-2397.00
417,-2196.00
418,-1596.00
419,-2196.00
420,-2196.00
421,-996.00
422,-2791.00
423,1882.00
424,-996.00
425,1392.00
426,-9000.00
427,2067.00
428,2010.00
429,-9000.00
430,-8800.00
431,2072.00
432,-2800.00
433,1779.00
434,-10800.00
435,-7196.00
436,-996.00
437,-1596.00
438,-2527.00
439,1921.00
440,-987.00
441,-14800.00
442,-2398.00
443,-3600.00
444,-16800.00
445,-13400.00
446,-996.00
447,1943.00
448,-996.00
449,2073.00
450,2059.00
451,1146.00
452,-1596.00
453,2088.00
454,2020.00
455,1582.00
456,-996.00
457,2070.00
458,1705.00
459,-11600.00
460,-996.00
461,-11573.00
462,2036.00
463,-996.00
464,-996.00
465,1996.00
466,-24188.00
467,2056.00
468,-33600.00
469,1940.00
470,1798.00
471,-26600.00
472,1919.00
473,-996.00
474,1808.00
475,2070.00
476,-10996.00
477,2019.00
478,-12990.00
479,1530.00
480,1877.00
481,-996.00
482,-13800.00
483,463.00
484,-996.00
485,-7800.00
486,-15800.00
487,-14400.00
488,1995.00
489,-1000.00
490,2056.00
491,-15000.00
492,-5000.00
493,-993.00
494,1919.00
495,2087.00
496,-996.00
497,-16000.00
498,1929.00
499,-996.00
500,-3396.00
501,-996.00
502,971.00
503,-17400.00
504,-3841.00
505,-5600.00
506,-3400.00
507,-14000.00
508,-4200.00
509,-996.00
510,-990.00
511,-9800.00
512,-12400.00
513,-997.00
514,-7200.00
515,-6200.00
516,1995.00
517,1743.00
518,-5200.00
519,1706.00
520,2047.00
521,2055.00
522,-11800.00
523,-996.00
524,-1598.00
525,-41200.00
526,-28400.00
527,1973.00
528,-984.00
529,2086.00
530,-8596.00
531,1831.00
532,1869.00
533,1973.00
534,1998.00
535,1608.00
536,1625.00
537,1982.00
538,2058.00
539,-1000.00
540,-5069.00
541,-21800.00
542,2091.00
543,1979.00
544,-12990.00
545,-20800.00
546,-998.00
547,1927.00
548,88.00
549,2078.00
550,-22800.00
551,-22235.00
552,1932.00
553,1557.00
554,2057.00
555,-8000.00
