episode,reward
1,-109043.40
2,2119.30
3,2014.70
4,-800.60
5,1417.20
6,834.30
7,-180570.00
8,927.10
9,-26382.70
10,-5768.90
11,2155.50
12,-743.00
13,-540.80
14,1135.40
15,-36205.70
16,2128.60
17,-3511.20
18,-1075.70
19,-3540.30
20,-3391.20
21,2213.10
22,931.20
23,-424.30
24,1009.80
25,1978.30
26,-745.90
27,2087.30
28,-2833.40
29,1109.00
30,1017.30
31,-1678.80
32,873.00
33,-836.40
34,995.30
35,-1656.10
36,-23.60
37,2091.90
38,2169.70
39,-3585.10
40,-792.40
41,-136328.00
42,2165.10
43,1202.70
44,2170.30
45,2144.60
46,924.00
47,2268.90
48,2161.10
49,-1861.30
50,-1240.40
51,-2690.50
52,2026.80
53,2142.70
54,2329.20
55,2100.50
56,-156749.00
57,2036.30
58,1783.30
59,-4719.10
60,-3606.60
61,2216.00
62,-2380.50
63,-2432.40
64,2019.00
65,2231.30
66,2132.40
67,1157.30
68,-25.20
69,-2870.20
70,2077.50
71,-1239.00
72,-185979.60
73,-9.90
74,-5767.80
75,2268.30
76,636.60
77,2356.10
78,-5810.40
79,-2554.90
80,-2285.70
81,2133.00
82,-6791.90
83,-2746.50
84,1228.50
85,568.30
86,-1865.90
87,1001.70
88,-133123.50
89,2266.90
90,1971.50
91,1155.90
92,-4806.00
93,-2390.60
94,2208.60
95,-155.00
96,2065.90
97,2096.50
98,1034.70
99,1077.40
100,1783.40
101,-40.00
102,-1574.70
103,1060.50
104,1859.40
105,-3843.00
106,-6040.50
107,1265.70
108,-4419.40
109,-6733.20
110,463.00
111,-71811.90
112,1242.80
113,-197860.10
114,975.90
115,2114.90
116,-8285.40
117,-87.20
118,1937.30
119,-4777.80
120,2028.60
121,1789.00
122,-4686.80
123,707.90
124,2131.50
125,-860.90
126,-1230.30
127,1163.70
128,2159.40
129,854.40
130,-2697.50
131,-1421.50
132,-9790.10
133,-1876.10
134,2198.30
135,1895.20
136,2283.60
137,-276.80
138,-957.20
139,-3372.40
140,-8677.80
141,-121313.30
142,893.50
143,-7789.80
144,-7458.90
145,2183.90
146,-7808.30
147,6.80
148,-3807.90
149,1742.50
150,-2741.40
151,1098.20
152,-94914.30
153,2060.30
154,-294.60
155,895.60
156,-81475.80
157,961.00
158,-1804.50
159,2021.70
160,-2291.50
161,888.80
162,1251.20
163,1627.80
164,2200.40
165,-4843.20
166,-50238.60
167,-4649.20
168,-207.90
169,-1977.80
170,-157951.40
171,2205.60
172,-2851.70
173,2207.70
174,2206.30
175,1584.90
176,-83825.10
177,2280.00
178,2312.30
179,2232.50
180,2268.10
181,1087.00
182,-7807.40
183,-2440.40
184,2164.80
185,-54676.10
186,-3865.80
187,-2547.20
188,864.00
189,1180.10
190,2007.30
191,2187.30
192,-6821.70
193,779.90
194,-193990.70
195,881.40
196,1565.00
197,-2228.50
198,-3387.90
199,657.20
200,2149.40
201,1187.80
202,1057.10
203,2119.70
204,-58801.10
205,2145.40
206,2039.00
207,2139.40
208,1974.80
209,1143.30
210,961.50
211,-4507.20
212,2085.00
213,1396.70
214,2013.60
215,2386.40
216,2224.40
217,-3805.10
218,1007.40
219,707.40
220,2085.90
221,-2826.10
222,2174.50
223,2189.10
224,-987.70
225,-2333.10
226,2124.10
227,-140735.80
228,-225.70
229,1206.10
230,1325.10
231,855.60
232,1966.90
233,2078.40
234,-196596.10
235,2086.70
236,914.40
237,-159154.40
238,2120.10
239,2093.50
240,1151.10
241,897.60
242,1058.60
243,-1401.50
244,2180.90
245,1023.70
246,-3658.80
247,2160.70
248,1137.40
249,-1865.80
250,-382.00
251,-3260.90
252,921.60
253,2106.40
254,-2833.00
255,2208.40
256,2099.40
257,2255.70
258,2102.70
259,2174.80
260,2154.90
261,979.20
262,1018.20
263,2070.70
264,2225.90
265,2138.60
266,984.80
267,2177.60
268,723.20
269,-859.00
270,1002.20
271,2195.20
272,1965.50
273,2254.00
274,-5746.70
275,2045.40
276,-1546.60
277,2027.70
278,2141.70
279,1072.80
280,2191.30
281,2388.60
282,2123.20
283,2240.00
284,2056.80
285,1071.90
286,1555.10
287,-2167.30
288,1003.60
289,2199.20
290,-184377.50
291,1168.60
292,-4.50
293,-10802.40
294,2140.50
295,-121510.00
296,1094.20
297,-69647.90
298,1302.60
299,2151.90
300,2154.90
301,2242.80
302,2208.20
303,39.10
304,2081.30
305,2080.10
306,2151.70
307,2099.20
308,2155.70
309,2103.30
310,1017.10
311,2195.90
312,2137.90
313,2174.20
314,2117.20
315,-8691.80
316,2202.50
317,2093.60
318,-2039.20
319,2214.80
320,1390.80
321,-124.70
322,1557.40
323,2168.80
324,-5808.30
325,-5770.80
326,-46.00
327,-974.60
328,-866.70
329,-168961.90
330,-1824.50
331,1005.00
332,-6802.90
333,-116907.30
334,2056.40
335,-64218.10
336,-3833.70
337,2136.20
338,1040.00
339,-8799.70
340,-873.60
341,2297.40
342,-191586.20
343,-3841.30
344,-176768.80
345,1117.10
346,2180.30
347,-20.00
348,2237.60
349,-3873.10
350,-154145.40
351,-8627.60
352,-1177.60
353,-1124.90
354,-935.30
355,2184.60
356,-15931.40
357,2205.60
358,1184.80
359,2079.70
360,861.40
361,-9799.30
362,-156154.10
363,-10805.00
364,-4405.60
365,1183.50
366,2120.20
367,2032.30
368,2241.20
369,2036.10
370,1508.90
371,37.90
372,1112.90
373,-2463.40
374,-15.80
375,2079.30
376,-176.60
377,2164.70
378,1958.10
379,-2204.80
380,2119.90
381,2302.80
382,2057.60
383,2031.40
384,2098.40
385,1267.40
386,-874.80
387,1174.40
388,1137.60
389,-3317.70
390,39.40
391,1718.00
392,-840.10
393,1953.80
394,2166.10
395,-3845.20
396,-1807.00
397,2216.10
398,-2719.10
399,-5740.70
400,-1864.60
401,2185.70
402,-30329.10
403,-1408.90
404,2150.00
405,2084.70
406,-1877.00
407,-1622.20
408,2206.90
409,585.30
410,1065.80
411,2177.80
412,2156.20
413,-23464.80
414,2101.30
415,2104.80
416,1537.20
417,473.80
418,2110.40
419,-4703.80
420,2054.50
421,1861.90
422,2276.20
423,1948.40
424,2197.70
425,-6300.00
426,-3420.00
427,-5725.70
428,-3852.10
429,2160.60
430,906.90
431,2177.60
432,2267.00
433,-152147.50
434,2194.10
435,2258.30
436,2409.50
437,-248.70
438,-1738.50
439,-1794.10
440,-2.10
441,471.00
442,2049.80
443,954.00
444,1019.10
445,2194.30
446,-998.10
447,42.10
448,2047.10
449,-1056.50
450,2376.30
451,2169.80
452,2296.60
453,945.70
454,-163.80
455,-128.80
456,2167.60
457,1636.10
458,2087.10
459,1021.70
460,2177.40
461,-1369.20
462,-1497.00
463,-9297.70
464,2151.50
465,2150.30
466,2166.50
467,-500.90
468,-1858.60
469,-2863.20
470,2134.00
471,1803.10
472,1069.20
473,996.60
474,2014.40
475,2086.10
476,-871.10
477,1193.30
478,-3775.30
479,-13791.80
480,2199.90
481,2189.70
482,-170958.30
483,-3348.20
484,2185.40
485,2396.10
486,2180.90
487,1058.10
488,1256.90
489,2158.40
490,2162.40
491,-172165.80
492,-89875.80
493,-361.80
494,2085.70
495,2141.40
496,2169.60
497,1021.60
498,2163.40
499,-236.70
500,2101.50
501,-2178.60
502,60.30
503,2151.30
504,1617.90
505,-1832.60
506,1668.00
507,1442.10
508,-221.40
509,1104.00
510,1021.20
511,2162.60
512,2114.00
513,2110.20
514,-4126.70
515,2277.30
516,2146.10
517,-42831.40
518,1070.90
519,2157.40
520,901.20
521,2003.50
522,2191.50
523,2090.50
524,2280.10
525,1117.60
526,2278.60
527,-865.40
528,-9582.60
529,2380.10
530,2147.70
531,-3830.90
532,895.90
533,610.30
534,-878.20
535,2080.30
536,1193.90
537,-19272.60
538,115.50
539,-5749.70
540,1666.10
541,985.50
542,2075.80
543,1153.40
544,2267.10
545,2411.50
546,-2828.00
547,1287.20
548,-134522.40
549,12.40
550,2056.10
551,2243.00
552,1053.50
553,-3740.20
554,-15776.40
555,2096.50
556,-2218.50
557,2272.10
558,2077.60
559,2103.80
560,-1876.20
561,-1885.80
562,-3077.70
563,-1242.50
564,2074.00
565,821.00
566,-3669.40
567,1363.10
568,-1284.40
569,2224.10
570,2196.10
571,2282.10
572,2157.90
573,966.30
574,-8850.20
575,2302.10
576,2161.50
577,2000.90
578,2207.70
579,-8771.70
580,2073.90
581,-1870.20
582,1084.20
583,-5828.30
584,43.00
585,422.60
586,-1729.20
587,-1213.20
588,2204.70
589,-53845.80
590,2344.20
591,-826.40
592,-877.10
593,-127893.20
594,-1876.20
595,461.50
596,2206.20
597,1107.00
598,-1841.50
599,1134.30
600,2042.60
601,-5802.60
602,-865.00
603,-1110.80
604,-848.10
605,-936.60
606,2081.90
607,2097.30
608,2081.90
609,2185.70
610,1701.50
611,1078.20
612,930.40
613,1026.50
614,1362.40
615,2216.10
616,1095.80
617,-3181.50
618,9.40
619,-8782.00
620,-125.80
621,2051.90
622,1045.10
623,-2017.70
624,-1872.00
625,-3802.40
626,-3845.50
627,960.70
628,480.80
629,-791.60
630,-3566.80
631,1027.40
632,2233.00
633,2334.40
634,-196593.40
635,2135.50
636,2116.60
637,-1336.40
638,2422.60
639,957.50
640,2156.20
641,-6543.60
642,984.30
643,198.80
644,1389.30
645,2233.20
646,30.80
647,2148.40
648,2081.30
649,962.60
650,26.80
651,-3411.80
652,2110.80
653,1000.80
654,-4482.10
655,2207.50
656,808.70
657,-875.80
658,126.50
659,-1120.20
660,2058.30
661,-5802.30
662,-1867.60
663,-1864.10
664,1142.70
665,-3191.30
666,-3766.70
667,-880.90
668,1199.60
669,1941.10
670,2235.60
671,2309.60
672,2198.40
673,-197596.10
674,2030.40
675,1197.60
676,2092.20
677,1984.40
678,1053.60
679,-7331.00
680,741.00
681,733.70
682,2334.70
683,-1154.90
684,2345.40
685,-107.10
686,-2217.50
687,2333.70
688,2183.80
689,2171.50
690,2128.40
691,-16804.40
692,888.00
693,2132.00
694,-2872.30
695,2161.60
696,67.90
697,1159.90
698,-1748.00
699,1275.10
700,-322.00
701,-868.30
702,-7813.20
703,2220.40
704,394.50
705,1090.00
706,2091.60
707,2172.80
708,2129.90
709,1183.30
710,2190.60
711,-1682.50
712,2141.00
713,-864.00
714,-2830.50
715,1083.60
716,1143.80
717,-9793.50
718,1111.70
719,-2875.30
720,-1862.30
721,-4701.80
722,861.20
723,2247.00
724,1016.80
725,-2132.10
726,-2091.20
727,2154.10
728,-869.20
729,956.80
730,1222.20
731,2277.90
732,-3301.10
733,1705.90
734,-188783.50
735,2102.30
736,2089.00
737,-2078.40
738,2251.10
739,-55.50
740,2121.60
741,2305.70
742,-115.30
743,-132.90
744,2094.00
745,-1441.50
746,-2078.60
747,-78.80
748,-1184.70
749,1643.30
750,1653.70
751,2008.60
752,2376.00
753,1086.80
754,-149946.30
755,2258.80
756,781.70
757,-3838.60
758,-1359.70
759,963.40
760,2236.80
761,2082.60
762,2185.90
763,922.80
764,2138.50
765,-175763.10
766,-145334.90
767,2160.00
768,-963.40
769,2111.00
770,2184.00
771,2038.50
772,2102.40
773,980.90
774,17.60
775,2194.40
776,2075.60
777,-1873.70
778,2013.30
779,2217.30
780,2122.70
781,2055.10
782,-1874.50
783,-1848.40
784,2109.00
785,2193.70
786,2228.10
787,-173968.80
788,-8.60
789,2230.10
790,2067.10
791,-2848.50
792,-142727.30
793,1728.60
794,1784.00
795,2092.70
796,35.30
797,2209.60
798,-3267.40
799,-1354.60
800,2155.30
801,1911.60
802,-3829.70
803,1002.30
804,-1121.60
805,1100.80
806,2097.10
807,2104.50
808,1089.50
809,-3231.70
810,2148.50
811,-1112.60
