episode,reward
1,-830.80
2,-901.50
3,-2902.50
4,-1642.60
5,2284.30
6,-857.80
7,-3894.00
8,2291.20
9,2038.00
10,-1898.50
11,2071.90
12,-885.20
13,1779.80
14,1864.30
15,-910.50
16,795.70
17,-468.30
18,2128.30
19,2144.90
20,-3887.00
21,-2896.00
22,2144.90
23,-4883.50
24,2163.50
25,710.30
26,-1879.40
27,-2888.00
28,2128.10
29,-830.20
30,-812.20
31,-1901.50
32,-913.50
33,-1899.00
34,2118.70
35,1819.70
36,1576.20
37,2440.20
38,-906.00
39,-3892.00
40,-901.00
41,-2902.00
42,-818.60
43,-3887.00
44,-3885.50
45,-1895.50
46,2172.70
47,1836.10
48,-1854.30
49,2143.70
50,-132151.50
51,-884.80
52,-845.00
53,2268.10
54,-819.80
55,-910.50
56,2479.20
57,2312.90
58,-903.40
59,-1884.00
60,-831.50
61,-2887.00
62,2075.40
63,-758.80
64,-1891.00
65,2154.80
66,2252.00
67,-835.50
68,1773.20
69,2356.50
70,-2906.50
71,2197.70
72,-861.00
73,-807.80
74,2036.20
75,-902.50
76,1555.20
77,-825.30
78,-1828.00
79,-2913.50
80,-809.80
81,2169.50
82,753.10
83,-2869.00
84,-1801.50
85,2110.60
86,2188.00
87,2274.90
88,-754.10
89,-798.30
90,1644.00
91,1206.50
92,-863.30
93,-910.50
94,2291.80
95,-1903.00
96,-887.00
97,-908.00
98,2114.30
99,-57.70
100,1405.90
101,1903.40
102,2249.80
103,-2895.00
104,2171.50
105,-3886.00
106,1895.70
107,-2908.00
108,2166.80
109,-1895.50
110,-866.10
111,-2903.50
112,-81340.50
113,1755.20
114,1986.30
115,1438.90
116,-916.50
117,-901.50
118,-3884.50
119,-1861.80
120,-3726.90
121,-2736.00
122,1954.20
123,2125.00
124,-2919.00
125,-1907.50
126,-823.70
127,-468.70
128,-2908.00
129,2196.30
130,2208.30
131,-834.50
132,-1165.60
133,-30903.50
134,-2896.50
135,-65726.50
136,-812.80
137,-901.00
138,-117351.00
139,-1912.00
140,2285.70
141,-916.00
142,2156.70
143,2243.90
144,-784.50
145,1748.00
146,-910.50
147,-3741.10
148,2101.40
149,-1806.00
150,-784.20
151,-4881.50
152,-1907.00
153,-1911.50
154,-1898.10
155,-914.50
156,-818.20
157,2324.90
158,-3892.50
159,2082.90
160,-37.00
161,-801.90
162,2270.70
163,-825.90
164,-3895.50
165,2218.90
166,-779.50
167,-5886.50
168,2116.20
169,-918.00
170,-773.10
171,-3890.50
172,-917.00
173,-2900.00
174,-4893.50
175,1741.50
176,-3900.00
177,-1914.00
178,2514.90
179,1806.50
180,-962.10
181,2315.30
182,2361.90
183,817.70
184,2167.30
185,-1911.00
186,-2905.00
187,-1902.00
188,2062.60
189,2153.10
190,-2912.50
191,-16106.50
192,2149.40
193,2157.40
194,2322.50
195,-863.30
196,2004.00
197,-2907.00
198,2059.00
199,-911.50
200,-1918.50
201,-912.50
202,2282.40
203,-807.20
204,-916.00
205,-2896.00
206,-914.50
207,-516.00
208,-2900.50
209,-1907.00
210,1854.30
211,2051.40
212,2092.80
213,2179.70
214,-2861.80
215,-844.80
216,-1918.50
217,2071.40
218,-2906.50
219,-1660.20
220,-6879.50
221,-2905.00
222,2169.00
223,-1895.80
224,-1908.00
225,1863.10
226,-915.00
227,-1909.50
228,1970.40
229,2112.60
230,1674.50
231,2095.80
232,1781.60
233,2238.10
234,-915.00
235,2023.10
236,-820.60
237,524.80
238,1457.20
239,2293.50
240,-1905.00
241,-923.00
242,-788.80
243,1916.60
244,-2902.50
245,-918.50
246,2083.20
247,-1905.50
248,2198.10
249,2056.80
250,-925.50
251,2205.70
252,2141.30
253,-918.00
254,-917.40
255,-808.70
256,-921.00
257,2319.10
258,-1828.60
259,-913.50
260,1802.30
261,2282.20
262,-2910.50
263,-1909.50
264,2189.40
265,-1915.50
266,2251.80
267,1740.20
268,1519.00
269,-3905.50
270,-6890.00
271,-928.50
272,1739.50
273,-800.80
274,1593.50
275,2176.30
276,-840.50
277,1370.90
278,-2903.50
279,2193.30
280,1316.30
281,-921.00
282,-60921.00
283,-1909.00
284,-1911.00
285,2118.40
286,2174.90
287,-832.30
288,-899.70
289,-1717.90
290,2082.30
291,1444.10
292,-2901.00
293,1601.90
294,2120.60
295,2075.40
296,2064.80
297,2005.30
298,-1908.50
299,-2910.00
300,2241.40
301,-2929.00
302,-2915.50
303,-1920.50
304,2150.30
305,2399.20
306,-3900.50
