episode,reward
1,-479.00
2,-3476.00
3,-3471.00
4,-2500.00
5,-1488.00
6,-472.00
7,-1473.00
8,-472.00
9,-8484.00
10,-2480.00
11,-500.00
12,-370.00
13,-481.00
14,-488.00
15,-2500.00
16,-481.00
17,-500.00
18,-486.00
19,-484.00
20,-484.00
21,-500.00
22,-2500.00
23,-2500.00
24,-472.00
25,-1500.00
26,-478.00
27,-472.00
28,-2467.00
29,-500.00
30,-500.00
31,-7672.00
32,-372.00
33,-474.00
34,-484.00
35,-484.00
36,-472.00
37,-500.00
38,-484.00
39,-500.00
40,-492.00
41,-500.00
42,-500.00
43,-476.00
44,-484.00
45,-476.00
46,-500.00
47,-500.00
48,-500.00
49,-487.00
50,-500.00
51,-500.00
52,-486.00
53,-496.00
54,-500.00
55,-500.00
56,-474.00
57,-484.00
58,-500.00
59,-500.00
60,-477.00
61,-485.00
62,-500.00
63,-479.00
64,-484.00
65,-487.00
66,-472.00
67,-500.00
68,-500.00
69,-474.00
70,-500.00
71,-500.00
72,-468.00
73,-467.00
74,-500.00
75,-500.00
76,-473.00
77,-500.00
78,-500.00
79,-500.00
80,-472.00
81,-500.00
82,-500.00
83,-500.00
84,-500.00
85,-485.00
86,-500.00
87,-490.00
88,-500.00
89,-500.00
90,-500.00
91,-500.00
92,-500.00
93,-500.00
94,-484.00
95,-500.00
96,-482.00
97,-500.00
98,-472.00
99,-500.00
100,-500.00
101,-490.00
102,-472.00
103,-500.00
104,-467.00
105,-482.00
106,-500.00
107,-500.00
108,-500.00
109,-500.00
110,-500.00
111,-484.00
112,-500.00
113,-476.00
114,-500.00
115,-484.00
116,-475.00
117,-477.00
118,-500.00
119,-500.00
120,-500.00
121,-500.00
122,-484.00
123,-486.00
124,-484.00
125,-500.00
126,-500.00
127,-500.00
128,-500.00
129,-500.00
130,-490.00
131,-484.00
132,-486.00
133,-500.00
134,-484.00
135,-476.00
136,-484.00
137,-489.00
138,-500.00
139,-475.00
140,-476.00
141,-500.00
142,-500.00
143,-484.00
144,-484.00
145,-500.00
146,-500.00
147,-487.00
148,-500.00
149,-500.00
150,-487.00
151,-500.00
152,-500.00
153,-482.00
154,-500.00
155,-500.00
156,-472.00
157,-500.00
158,-500.00
159,-500.00
160,-484.00
161,-484.00
162,-475.00
163,-496.00
164,-500.00
165,-495.00
166,-500.00
167,-500.00
168,-500.00
169,-486.00
170,-484.00
171,-472.00
172,-476.00
173,-500.00
174,-500.00
175,-500.00
176,-500.00
177,-484.00
178,-500.00
179,-484.00
180,-477.00
181,-500.00
182,-472.00
183,-474.00
184,-500.00
185,-500.00
186,-500.00
187,-484.00
188,-500.00
189,-476.00
190,-485.00
191,-500.00
192,-500.00
193,-500.00
194,-484.00
195,-500.00
196,-492.00
197,-500.00
198,-484.00
199,-485.00
200,-500.00
201,-484.00
202,-500.00
203,-500.00
204,-490.00
205,-500.00
206,-472.00
207,-484.00
208,-476.00
209,-500.00
210,-500.00
211,-500.00
212,-500.00
213,-500.00
214,-482.00
215,-500.00
216,-484.00
217,-472.00
218,-500.00
219,-500.00
220,-472.00
221,-500.00
222,-487.00
223,-500.00
224,-500.00
225,-500.00
226,-500.00
227,-479.00
228,-484.00
229,-500.00
230,-500.00
231,-500.00
232,-500.00
233,-472.00
234,-500.00
235,-472.00
236,-500.00
237,-484.00
238,-500.00
239,-500.00
240,-476.00
241,-500.00
242,-500.00
243,-500.00
244,-484.00
245,-500.00
246,-484.00
247,-484.00
248,-500.00
249,-490.00
250,-472.00
251,-500.00
252,-474.00
253,-472.00
254,-484.00
255,-500.00
256,-500.00
257,-500.00
258,-500.00
259,-500.00
260,-500.00
261,-486.00
262,-500.00
263,-500.00
264,-500.00
265,-500.00
266,-477.00
267,-496.00
268,-485.00
269,-477.00
270,-472.00
271,-500.00
272,-500.00
273,-486.00
274,-500.00
275,-474.00
276,-476.00
277,-500.00
278,-487.00
279,-500.00
280,-500.00
281,-476.00
282,-500.00
283,-500.00
