episode,reward
1,-53384.00
2,-18571.00
3,-22174.00
4,-19979.00
5,-21972.00
6,-21184.00
7,-3976.00
8,-40187.00
9,-28774.00
10,-13868.00
11,-22386.00
12,-18987.00
13,-27371.00
14,-23979.00
15,-3785.00
16,-4587.00
17,-43167.00
18,-15984.00
19,-972.00
20,-38576.00
21,-6984.00
22,-33570.00
23,-34769.00
24,-36972.00
25,-29168.00
26,-972.00
27,-49176.00
28,-988.00
29,-9372.00
30,-26982.00
31,1127.00
32,-47772.00
33,-8170.00
34,-50777.00
35,-36584.00
36,-18967.00
37,-6786.00
38,-16574.00
39,-10371.00
40,-5569.00
41,-31167.00
42,-29575.00
43,-2383.00
44,-29973.00
45,-46187.00
46,-19383.00
47,-13988.00
48,-17167.00
49,-976.00
50,-14767.00
51,-35572.00
52,-31578.00
53,-64269.00
54,-8786.00
55,-18184.00
56,-3374.00
57,-91971.00
58,-984.00
59,-80388.00
60,-11372.00
61,-33167.00
62,-37575.00
63,-35176.00
64,-18373.00
65,-971.00
66,-35186.00
67,-26776.00
68,-53168.00
69,-12367.00
70,-48369.00
71,-10368.00
72,-868.00
73,-48572.00
74,-4670.00
75,-3272.00
76,-968.00
77,-26174.00
78,-36668.00
79,-18972.00
80,-9877.00
81,-12974.00
82,-3567.00
83,-66171.00
84,-2668.00
85,1540.00
86,-7767.00
87,-36568.00
88,-44187.00
89,-10569.00
90,-46570.00
91,-32573.00
92,-70169.00
93,-50571.00
94,-39986.00
95,-10971.00
96,-18569.00
97,-5168.00
98,-14577.00
99,-2668.00
100,-21973.00
101,1762.00
102,-4989.00
103,-975.00
104,-7268.00
105,-979.00
106,-29597.00
107,-991.00
108,-17668.00
109,-9967.00
110,-22572.00
111,-45383.00
112,-23567.00
113,-14579.00
114,-29786.00
115,-980.00
116,-10382.00
117,-33972.00
118,-13369.00
119,-10772.00
120,-47573.00
121,-43967.00
122,1741.00
123,-10102.00
124,-26786.00
125,-20579.00
126,-20184.00
127,-974.00
128,-13784.00
129,-21176.00
130,-972.00
131,-36968.00
132,-970.00
133,-23788.00
134,-20768.00
135,-41784.00
136,-969.00
137,-17973.00
138,-872.00
139,-11184.00
140,-63569.00
141,-8195.00
142,133.00
143,-33275.00
144,-61367.00
145,906.00
146,-44184.00
147,-13173.00
148,-23970.00
149,-868.00
150,-23770.00
151,-14170.00
152,1191.00
153,-18189.00
154,-33584.00
155,-27978.00
156,-13384.00
157,-868.00
158,-40567.00
159,-3369.00
160,-9174.00
161,-31280.00
162,-24377.00
163,-40770.00
164,-43472.00
165,-15371.00
166,-57367.00
167,-976.00
168,-5975.00
169,-868.00
170,-2871.00
171,-30169.00
172,-25376.00
173,-9372.00
174,-50996.00
175,-44576.00
176,1936.00
177,-11064.00
178,-35972.00
179,-967.00
180,-60579.00
181,-12568.00
182,-27384.00
183,-5179.00
184,-32984.00
185,-5372.00
186,-32771.00
187,-12368.00
188,-25183.00
189,1914.00
190,-17587.00
191,-36784.00
192,-2174.00
193,-8672.00
194,-22775.00
195,-11470.00
196,-14985.00
197,-27377.00
198,-50585.00
199,-14984.00
200,-3771.00
201,-7591.00
202,-2168.00
203,-23384.00
204,-7984.00
205,-39172.00
206,-32396.00
207,-15167.00
208,-56387.00
209,-9784.00
210,-55870.00
211,-12785.00
212,-10145.00
213,-49170.00
214,-14678.00
215,-870.00
216,-68567.00
217,-9077.00
218,-63567.00
219,-40169.00
220,-49771.00
221,-27568.00
222,-978.00
223,-878.00
224,-32573.00
225,-5374.00
226,-874.00
227,-35984.00
228,-21484.00
229,-38169.00
230,-51176.00
231,-11767.00
232,-18378.00
233,-12584.00
234,-16772.00
235,-28169.00
236,-53171.00
237,-7967.00
238,-10970.00
239,-21470.00
240,-18581.00
241,-6870.00
242,-15389.00
243,-4368.00
244,-23972.00
245,-36367.00
246,-36367.00
247,-19368.00
248,1315.00
249,-22170.00
250,-29984.00
251,-31367.00
252,-39777.00
253,-27972.00
254,-27367.00
255,-6767.00
256,-25585.00
257,-21169.00
258,-23767.00
259,-28990.00
260,-6384.00
261,-27167.00
262,490.00
263,-10567.00
264,-22368.00
265,-21169.00
266,-973.00
267,-47468.00
268,-20984.00
269,-23581.00
270,-19367.00
271,-68368.00
272,-26584.00
273,-42987.00
274,-3776.00
275,-10974.00
276,-89181.00
277,-19392.00
278,-74171.00
279,-37967.00
280,-30367.00
281,-30989.00
282,-38767.00
283,-10595.00
284,-17482.00
285,-20979.00
286,-542.00
287,-83577.00
288,-28167.00
289,-61572.00
290,-29367.00
291,-974.00
292,-21370.00
293,1986.00
294,-21579.00
295,-31367.00
296,-15967.00
297,-2468.00
298,-43167.00
299,-19567.00
300,-23367.00
301,-11171.00
302,-6970.00
303,-11974.00
304,-13570.00
305,-20468.00
306,-40384.00
307,-42967.00
308,-25367.00
309,-967.00
310,-47768.00
311,-11969.00
312,-5970.00
313,-26967.00
314,-4372.00
315,-29979.00
316,-35868.00
317,-29387.00
318,-17369.00
319,-57774.00
320,-16770.00
321,-13370.00
322,-10868.00
323,-43767.00
324,-57167.00
325,-32767.00
326,-21367.00
327,-48575.00
328,-38784.00
329,-40768.00
330,-19368.00
331,-35588.00
332,-7579.00
333,-41772.00
334,-21171.00
335,-18571.00
336,-972.00
337,-35776.00
338,-43369.00
339,-31183.00
340,-59385.00
341,-17787.00
342,1742.00
343,-24974.00
344,-43368.00
345,-46367.00
346,-16171.00
347,-43567.00
348,1968.00
349,-13971.00
350,-16369.00
351,-9471.00
352,-25167.00
353,-8773.00
354,-50568.00
355,1644.00
356,-22571.00
357,-11575.00
358,-53290.00
359,-30392.00
360,-984.00
361,-57582.00
362,-20171.00
363,-32771.00
364,-988.00
365,-46384.00
366,-21967.00
367,-32872.00
368,-8576.00
369,-56369.00
370,-972.00
371,-50668.00
372,-22983.00
373,-76583.00
374,-21570.00
375,1762.00
376,-21979.00
377,-971.00
378,-16569.00
379,-33571.00
380,-47167.00
381,-2180.00
382,-7172.00
383,-2689.00
384,-16585.00
385,-29584.00
386,-46588.00
387,-40380.00
388,-64775.00
389,-21769.00
390,-15367.00
391,-12584.00
392,-8374.00
393,-22971.00
394,-6383.00
395,-13779.00
396,-37184.00
397,-6869.00
398,-31384.00
399,-55184.00
400,-25182.00
