episode,reward
1,-852.00
2,-881.80
3,-3854.70
4,-892.60
5,1625.80
6,1423.90
7,-884.20
8,-1871.60
9,1994.50
10,-855.60
11,-3850.20
12,-1829.30
13,-859.20
14,2051.80
15,-860.30
16,-1874.60
17,1865.90
18,2278.00
19,-1795.90
20,-2863.20
21,2262.60
22,1744.80
23,2171.60
24,2161.80
25,-878.80
26,2150.30
27,-866.70
28,-895.60
29,-2872.20
30,1888.60
31,2164.80
32,1132.60
33,949.90
34,1682.50
35,2117.40
36,-809.00
37,2121.80
38,1643.40
39,-1868.60
40,2462.90
41,-872.80
42,-1884.80
43,-3857.20
44,-3875.20
45,1610.90
46,1747.80
47,-2865.00
48,-870.00
49,-1874.00
50,2052.30
51,2292.50
52,-3884.80
53,997.40
54,-2865.00
55,1875.00
56,2439.60
57,1594.30
58,1991.10
59,2157.00
60,2140.90
61,-838.50
62,2109.20
63,-1845.40
64,1382.30
65,1064.60
66,1764.60
67,-857.20
68,-845.90
69,-1839.40
70,-1851.10
71,-872.70
72,-864.40
73,-831.00
74,-1632.10
75,1746.30
76,-26038.00
77,-382.70
78,-864.40
79,-803.50
80,1764.60
81,-1850.00
82,-869.30
83,2022.50
84,793.70
85,-835.00
86,-1813.00
87,23.80
88,2194.00
89,-4833.20
90,-852.60
91,-1850.00
92,-1827.20
93,-824.50
94,-2832.00
95,-2823.80
96,1699.50
97,1078.30
98,1696.90
99,1140.90
100,-857.00
101,2119.10
102,2156.70
103,1649.10
104,-2837.40
105,-1836.20
106,887.80
107,-2824.40
108,-855.40
109,2099.50
110,-5812.80
111,-816.20
112,2087.90
113,-1845.20
114,-821.10
115,2087.40
116,-8799.00
117,2069.90
118,1199.70
119,-130993.90
120,-2833.80
121,1697.50
122,-4829.00
123,1859.00
124,-2811.60
125,1852.00
126,2412.80
127,-2822.40
128,1679.70
129,-1828.00
130,-839.40
131,2101.50
132,2241.00
133,2007.30
134,2008.40
135,-2810.90
136,2047.60
137,-3817.60
138,2249.40
139,897.80
140,-5770.40
141,-4802.00
142,-1823.00
143,-2794.90
144,2198.70
145,-2818.20
146,-1820.80
147,-1823.00
148,-7780.40
149,-8788.80
150,1975.20
151,2217.40
152,-3796.20
153,2134.00
154,-845.40
155,-355.20
156,2057.80
157,-1809.80
158,-1763.30
159,2145.60
160,2106.10
161,1819.80
162,-1793.50
163,-3787.50
164,1963.10
165,-4793.60
166,1278.80
167,-413.80
168,2023.70
169,2040.50
170,-5803.80
171,-1812.20
172,1449.80
173,-1809.80
174,2202.10
175,-6784.00
176,-2812.40
177,2105.60
178,857.70
179,-822.70
180,-836.20
181,-825.00
182,-604.10
183,-829.20
184,2264.60
185,-1811.00
186,-1799.00
187,2004.80
188,2186.00
189,2156.60
190,-809.30
191,870.20
192,-3764.60
193,2090.40
194,-4790.00
195,-809.10
196,-5781.00
197,-1800.80
198,1888.70
199,2245.90
200,-1801.40
201,-1697.90
202,-2784.80
203,-111099.80
204,2206.20
205,907.90
206,2032.90
207,-790.60
208,-3784.00
209,2060.00
210,1714.80
211,2100.80
212,-4786.90
213,2198.10
214,839.70
215,2262.70
216,2026.40
217,2065.40
218,-1546.80
219,-1691.90
220,-1802.50
221,-381.70
222,-1782.60
223,782.30
224,-3782.40
225,2008.70
226,-1793.80
227,1801.40
228,1687.10
229,-407.90
230,-2793.80
231,667.80
232,1095.50
233,2079.10
234,-3784.60
235,2020.10
236,2126.80
237,-2781.00
238,2117.30
239,-3794.20
240,-6779.80
241,-1478.20
242,-5769.60
243,2281.70
244,-154931.60
245,-30833.20
246,2141.20
247,-3775.60
248,1184.80
249,601.30
250,-1747.90
251,2149.70
252,-5766.60
253,-1792.40
254,1868.70
255,1956.80
256,2358.40
257,654.20
258,-2895.60
259,2013.40
260,764.30
261,-1884.80
262,982.70
263,1981.50
264,-890.20
265,752.40
266,-2899.20
267,-896.80
268,-1898.60
269,-839.50
270,-2883.60
271,2258.40
272,-1741.70
273,1969.00
274,-1889.00
275,2118.10
276,-896.20
277,1850.20
278,-113746.00
279,-1878.20
280,-5751.60
281,-896.80
282,-767.00
283,2346.20
284,-1904.60
285,-1820.90
286,-899.80
287,-2894.40
288,-900.40
289,-155133.90
290,-2853.80
291,829.50
292,-2895.60
293,-2885.40
294,1385.40
295,2106.80
296,1740.90
297,2195.90
298,2307.30
299,-6746.80
300,2046.90
301,-37025.60
302,-1781.70
303,-188966.40
304,-794.40
305,1903.30
306,-1893.80
307,-880.20
308,1888.50
309,-2769.60
310,-828.60
311,2094.40
312,-899.70
313,-858.00
314,1787.40
315,-1850.80
316,2005.50
317,2193.70
318,1617.40
319,-901.60
320,-832.00
321,-2899.20
322,-848.70
323,-901.60
324,-1832.50
325,1891.60
326,1939.60
327,-1896.20
328,-905.80
329,-2904.00
330,-844.00
331,-1901.60
332,2149.00
333,2087.30
334,-914.20
335,601.10
336,-1850.50
337,-1895.60
338,-833.10
339,-2805.70
340,-842.70
341,2092.10
342,2217.90
343,-910.00
344,-907.60
345,-1903.40
346,1827.30
347,-900.40
348,-1891.40
349,-2877.20
350,2050.50
351,-1897.40
352,2093.20
353,-906.40
354,-1898.00
355,1464.00
356,2037.70
357,2284.20
358,-913.60
359,1881.70
360,1403.40
361,1458.70
362,1355.40
363,2107.50
364,2169.10
365,-918.40
366,1782.40
367,2042.10
368,2293.80
369,2169.40
370,1902.20
371,1076.60
372,-907.00
373,-1901.00
374,2247.90
375,-2834.30
376,2241.70
377,-921.40
378,2248.00
379,1656.00
380,1932.90
381,-1904.60
382,-857.40
383,-896.80
384,2121.00
385,1857.90
386,2125.90
387,-859.80
388,-917.20
389,-1752.60
390,-2890.20
391,2175.80
392,2091.10
393,-920.80
394,1691.30
395,2019.20
396,-917.20
397,2202.30
398,2321.20
399,-2797.40
400,1269.60
401,-1899.80
402,1235.80
403,-1908.20
404,-3883.00
405,2156.60
406,-913.00
407,2018.00
408,1958.90
409,-2901.60
410,2218.90
411,2140.50
412,-152347.20
413,-1899.80
414,2067.90
415,1936.20
416,-2805.70
417,-1913.00
418,-856.50
419,-161134.10
420,-1648.90
421,-3901.00
422,-1902.80
423,-750.90
424,-832.20
425,-895.60
426,-826.80
427,-928.00
428,-2911.20
429,-2174.90
430,-3793.50
431,-5841.80
432,-1906.40
433,-1907.60
434,2092.00
435,1936.90
436,2184.60
437,-876.60
438,-1907.00
439,2151.70
440,2268.70
441,1438.70
442,2223.30
443,2200.80
444,-858.60
445,-913.60
446,-656.00
447,-813.00
448,2081.80
449,2188.10
450,-819.30
451,-2910.60
452,2146.80
453,-768.50
454,-1888.80
455,-919.60
456,-2901.60
457,2251.10
458,-915.40
459,2122.30
460,1670.30
461,2113.80
462,-915.40
463,1734.40
464,2213.90
465,2095.20
466,-1903.40
467,-911.80
468,-3890.80
469,-1914.80
470,-914.80
471,2011.80
472,-3882.10
473,2144.60
474,-849.60
475,-920.80
476,-1900.40
477,-925.60
478,-769.00
479,2120.70
480,-866.40
481,-2916.60
482,-2880.40
483,-5880.60
484,-911.80
485,-184160.40
486,-1902.20
487,-919.60
488,693.90
489,-2908.80
490,-916.60
491,-1916.60
492,-1901.80
493,-913.00
494,-915.40
495,-914.80
496,2159.60
497,2046.60
498,2216.10
499,-920.20
500,-837.90
501,2110.20
502,2252.10
503,-929.20
504,1813.90
505,-875.10
506,-812.80
507,2004.30
508,-917.80
509,-920.80
510,2242.00
511,900.80
512,-15494.40
513,2041.60
514,-10857.20
515,-2904.00
516,-920.80
517,-25728.00
518,-1910.30
519,-855.80
520,1865.20
521,-309.70
522,-926.80
523,2234.70
524,2108.00
525,-1915.40
526,-1908.80
527,-1905.20
528,-916.00
529,2102.00
530,1952.20
531,-793.60
532,1918.20
533,-1895.60
534,-862.60
535,1545.40
536,-3751.40
537,-1920.80
538,2145.30
539,-924.40
540,1995.70
541,-721.50
542,-4901.60
543,-914.30
544,-931.00
545,-21299.80
546,1855.10
547,-920.20
548,1667.80
549,2104.20
550,2044.90
551,-926.20
552,658.10
553,-923.80
554,-125546.60
555,-823.80
556,-2907.00
557,1529.10
558,-1915.40
559,-926.80
560,-1919.00
561,-1925.00
562,2103.70
563,-931.60
564,-1688.40
565,2208.80
566,-1874.50
567,-769.50
568,-912.20
569,-842.40
570,2252.90
571,-265.60
572,-1898.50
573,-922.00
574,1857.60
575,-1912.30
576,-918.40
577,-1918.40
578,-1910.60
579,2289.20
580,-1912.40
581,-920.20
582,-886.80
583,-923.80
584,-1725.20
585,2090.40
586,-841.50
587,-924.40
588,2091.80
589,2050.30
590,-3914.20
591,2068.20
592,2417.20
593,2012.00
594,-930.40
595,-3741.80
596,1630.30
597,2179.90
598,-921.40
599,-26240.00
600,-898.20
601,-1923.80
602,-1917.80
603,1994.40
604,-928.60
605,-3896.80
606,1971.90
607,2006.20
608,-931.60
609,-1921.40
610,-930.40
611,2187.00
612,-12746.10
613,-1905.80
614,2193.30
615,-802.10
616,-807.50
617,-1927.40
618,-1410.90
619,-5740.10
620,2099.70
621,-153136.30
622,-914.80
623,2159.60
624,2464.40
625,-924.40
626,-1920.20
627,-100137.60
628,-919.60
629,2289.50
630,-1920.20
631,2095.00
632,1458.10
633,-3765.90
634,-803.30
635,-935.20
636,-3646.10
637,1788.80
638,-1920.80
639,-828.30
640,-1923.20
641,2159.20
642,2380.10
643,-911.80
644,-931.60
645,1905.70
646,-2889.60
647,-932.80
648,-1826.20
649,884.00
650,2070.10
651,-1671.80
652,-2912.40
653,2161.70
654,-797.70
655,-733.10
656,-938.20
657,-1910.60
658,-1928.60
659,-1713.50
660,-904.20
661,1843.30
662,-184204.10
663,-925.60
664,2183.80
665,-943.00
666,2436.20
667,-2912.40
668,-927.40
669,-931.60
670,-114402.90
671,2072.00
672,-47535.80
673,-1652.20
674,2076.40
675,1141.50
676,-3756.30
677,2098.20
678,-934.00
679,-929.20
680,1362.50
681,2141.40
682,-925.00
683,-833.00
684,1144.70
685,-923.80
686,-758.90
687,2123.20
688,-938.80
689,2030.00
690,-726.90
691,1166.70
692,-931.60
693,-931.40
694,-936.40
695,-1915.40
696,1895.20
697,-5908.80
698,-1906.60
699,-636.00
700,1933.80
701,-1925.00
702,-1933.40
703,-856.70
704,2216.10
705,-3908.80
706,-759.20
707,-988.40
708,856.40
709,-922.00
710,-932.80
711,-1916.60
712,-935.80
713,-30310.60
714,-376.00
715,-2910.00
716,-925.00
717,-534.20
718,-1928.00
719,1618.50
720,881.30
721,1884.80
722,-914.40
723,-937.00
724,2290.80
725,-931.60
726,2130.20
727,2187.50
728,2104.80
729,-935.20
730,-1929.20
731,-2827.10
732,1790.50
733,-31899.20
734,-924.40
735,2133.70
736,-931.60
737,-935.20
738,-1789.00
739,2138.60
740,-1930.40
741,-928.60
742,2025.90
743,-2840.80
744,-935.20
745,1815.40
746,-1932.80
747,-942.40
748,1794.40
749,2292.10
750,-3909.40
751,-915.60
752,1854.80
753,-938.80
754,-1926.80
755,-2920.80
756,-1925.60
757,-2441.60
758,-1777.80
759,-1919.60
760,-797.90
761,-938.80
762,-919.60
763,-770.30
764,-752.60
765,-2915.40
766,-941.80
767,-930.40
768,-881.40
769,2187.50
770,-937.60
771,-934.00
772,-939.40
773,-939.40
774,-1922.60
775,-842.10
776,-937.60
777,-801.60
778,-920.20
779,-806.40
780,-937.00
781,-1931.00
782,-3902.20
783,1901.60
784,-5771.80
785,-606.20
786,-937.00
787,2288.90
788,1569.20
789,-936.40
790,2075.20
791,-3802.90
792,-2302.30
793,1957.60
794,-934.60
795,-2067.40
796,2226.20
797,2057.50
798,-874.50
799,-846.30
800,-925.60
801,-938.20
802,2106.80
803,-931.60
804,-933.40
805,2316.00
806,-900.60
807,-827.20
808,-36337.00
809,-1926.20
810,555.40
811,-942.40
812,2058.40
813,-952.00
814,1137.90
815,-856.50
816,-1701.90
817,-929.20
818,-1842.00
819,-948.40
820,-944.20
821,2074.00
822,-947.20
823,-946.00
824,-929.80
825,-934.00
826,-941.20
827,-1931.60
828,2183.70
829,-2915.40
830,-886.20
831,2302.10
832,-943.00
833,-1926.80
834,2055.80
835,-925.60
836,1621.50
837,-1925.00
838,2185.00
839,-934.00
840,-532.70
841,2273.20
842,2386.50
843,-902.40
844,-1934.60
845,-938.80
846,2023.70
847,-940.00
848,-933.40
849,-944.20
850,-943.00
851,2166.30
852,-2931.00
853,-3919.00
854,2131.20
855,1963.90
856,-715.10
857,-946.60
858,-931.00
859,2182.50
860,-937.60
861,2190.50
862,2204.10
863,-930.40
864,2200.20
865,-936.40
866,2096.10
867,2268.00
868,-933.40
869,-933.40
870,-1805.50
871,-940.00
872,-1942.40
873,-1926.20
874,2109.10
875,-2865.60
876,2362.90
877,2244.40
878,-933.40
879,-798.00
880,-1813.90
881,-1927.40
882,-58557.40
883,-1922.00
884,2143.60
885,-861.90
886,-1943.00
887,-945.40
888,-1928.00
889,2224.80
890,-944.80
891,2085.70
892,-1935.80
893,-937.00
894,-947.80
895,-944.20
896,-2923.80
897,1694.50
898,1603.20
899,-934.60
900,-1938.80
901,-941.20
902,-939.40
903,2222.60
904,1863.80
905,-797.60
906,1962.50
907,-938.20
908,2175.60
909,-918.30
910,1945.20
911,-941.20
912,-845.40
913,-944.80
914,1393.20
915,1707.60
916,-938.20
917,1781.80
918,2112.20
919,-940.60
920,2105.90
921,-885.00
922,947.90
923,-931.60
924,2330.10
925,2103.40
926,-942.40
927,-938.80
928,1851.10
929,1907.80
930,-932.20
931,1900.30
932,-951.40
933,2215.90
934,-2925.00
935,2100.70
936,-943.60
937,2034.10
938,-946.60
939,2274.20
940,1401.30
941,-945.40
942,2010.60
943,-940.60
944,2337.00
945,-1936.40
946,1563.90
947,-852.60
948,-816.00
949,2227.40
950,2236.70
951,-942.20
952,-1922.80
953,-1896.40
954,1147.20
955,2120.20
956,2110.70
957,2171.80
958,2267.60
959,-935.80
960,-934.60
961,39.00
962,2114.70
963,-947.20
964,-940.00
965,2290.40
966,-946.60
967,-1872.70
968,-818.70
969,2220.60
970,2113.90
971,-942.40
972,2137.00
973,-949.00
974,-2933.40
975,-945.40
976,-935.80
977,-947.80
978,-1934.60
979,2034.70
980,-1944.20
981,-1941.20
982,2067.10
983,-826.70
984,-1817.80
985,-941.20
986,-1933.40
987,-807.90
988,-946.00
989,1856.30
990,1692.10
991,2172.40
992,-950.80
993,-3907.80
994,-934.00
995,2335.80
996,2095.60
997,2179.30
998,-1834.60
999,2329.10
1000,-1803.40
1001,-858.00
1002,-938.20
1003,2242.10
1004,-941.80
1005,2142.30
1006,1850.90
1007,2306.90
1008,2350.60
1009,2227.70
1010,2193.30
1011,2185.00
1012,-944.80
1013,2145.30
1014,2302.30
1015,1867.80
1016,2392.50
1017,1892.90
1018,2079.90
1019,-943.00
1020,1982.00
1021,-944.80
1022,-943.60
1023,-870.90
1024,2253.50
1025,-1935.20
1026,-942.40
1027,-827.40
1028,-2931.00
1029,-944.20
1030,-947.20
1031,2182.80
1032,2361.40
1033,2082.60
1034,1613.30
1035,-953.20
1036,-1933.40
1037,-1941.20
1038,-1935.80
1039,-945.40
1040,2148.10
1041,1521.60
1042,2191.40
1043,-864.30
1044,-944.80
1045,-943.60
1046,-946.60
1047,-828.20
1048,-834.90
1049,1618.40
1050,2164.90
1051,2148.80
1052,-1940.00
1053,-949.60
1054,-946.00
1055,-1945.40
1056,-761.30
1057,-958.60
1058,1828.20
1059,-943.60
1060,2252.00
1061,-950.20
1062,-2933.40
1063,-1940.00
1064,-949.00
1065,-170140.50
1066,2047.10
1067,-950.20
1068,-793.30
1069,2079.40
1070,2060.30
1071,-1940.60
1072,-940.00
1073,-944.20
1074,2232.20
1075,-3929.80
1076,2140.10
1077,2414.80
1078,2204.80
1079,2209.60
1080,-1281.30
1081,-949.60
1082,-1941.80
1083,-952.00
1084,-1937.00
1085,-123542.40
1086,-942.40
1087,2184.00
1088,-954.40
1089,-950.80
1090,-116810.40
1091,-1935.20
1092,1336.60
1093,2160.30
1094,-788.40
1095,-822.30
1096,-949.00
1097,2286.70
1098,-954.40
1099,2053.00
1100,2080.20
1101,-955.00
1102,-8890.80
1103,2095.10
1104,-962.80
1105,-1807.70
1106,-955.60
1107,1718.70
1108,2210.50
1109,2145.50
1110,1064.40
1111,-837.90
1112,-1935.20
1113,2199.40
1114,2318.40
1115,1858.80
1116,-830.40
1117,2187.90
1118,-949.60
1119,2339.90
1120,2018.80
1121,2072.40
1122,-915.00
1123,2222.90
1124,-1941.80
1125,1967.70
1126,2224.60
1127,-62518.50
1128,-935.20
1129,-940.90
1130,-966.40
1131,-1939.40
1132,2199.90
1133,-947.20
1134,-947.20
1135,-807.90
1136,-955.00
1137,2043.60
1138,-898.50
1139,2201.30
1140,-959.20
1141,-952.60
1142,2157.00
1143,-954.40
1144,-952.00
1145,2148.00
1146,-955.00
1147,-812.70
1148,2196.40
1149,2216.50
1150,-810.00
1151,-29718.40
1152,-2344.80
1153,-959.20
1154,2255.20
1155,2002.70
1156,-943.60
1157,-950.80
